Date,Confirmed,Death
2020/3/17,2200,14
2020/3/16,2200,13
2020/3/15,1359,11
2020/3/14,1125,6
2020/3/13,858,6
2020/3/12,645,4
2020/3/11,491,3
2020/3/10,332,2
2020/3/9,332,2
2020/3/8,264,2
2020/3/7,209,1
2020/3/6,86,1
2020/3/5,56,0
2020/3/4,37,0
2020/3/3,30,0
2020/3/2,24,0
2020/3/1,18,0
2020/2/29,12,0
2020/2/28,7,0
2020/2/27,2,0
2020/2/26,1,0
2020/2/25,0,0
