Date,Confirmed,Death
2020/2/27,0,0
2020/2/28,1,0
2020/2/29,2,0
2020/3/1,7,0
2020/3/2,13,0
2020/3/3,18,0
2020/3/4,28,0
2020/3/5,38,0
2020/3/6,82,0
2020/3/7,128,1
2020/3/8,188,1
2020/3/9,265,3
2020/3/10,321,3
2020/3/11,382,4
2020/3/12,503,5
2020/3/13,614,5
2020/3/14,804,10
2020/3/15,959,12
2020/3/16,1135,20
2020/3/17,1413,24
,,
,,
,,
,,
,,
,,
,,
,,
,,
