Date,Confirmed,Death
2020/3/17,1085,5
2020/3/16,1085,5
2020/3/15,689,0
2020/3/14,599,0
2020/3/13,314,0
2020/3/12,314,0
2020/3/11,267,0
2020/3/10,239,0
2020/3/9,200,0
2020/3/8,169,0
2020/3/7,109,0
2020/3/6,50,0
2020/3/5,23,0
2020/3/4,8,0
2020/3/3,8,0
2020/3/2,1,0
2020/3/1,1,0
2020/2/29,1,0
2020/2/28,1,0
2020/2/27,1,0
2020/2/26,1,0
2020/2/25,1,0
2020/2/24,1,0
2020/2/23,1,0
